
# Profile Report (Top 100 Ops sorted by tot-usec)

| Op             | Dims                                     | DTypes                          | Tot usec   | Avg usec | Avg Cycles  | Max usec | Max Cycles | Count |
| MUL_MAT        | 2048:1536 x 2048:142 -> 1536:142         | q4_0 x f32 -> f32               | 3374.00    | 120.50   | 206866.18   | 123      | 211264     | 28    |
| RMS_NORM+MUL   | 256:8 x 256:1 -> 256:8                   | f32 x f32 -> f32                | 2902.00    | 3.34     | 6706.67     | 6        | 10759      | 868   |
| MUL            | 1536:1 x 1:1 -> 1536:1                   | f32 x f32 -> f32                | 2862.00    | 2.64     | 5499.24     | 8        | 15207      | 1085  |
| GELU           | 256:1 -> 256:1                           | f32 -> f32                      | 2621.00    | 2.42     | 4647.35     | 10       | 18258      | 1085  |
| MUL            | 256:1 x 256:1 -> 256:1                   | f32 x f32 -> f32                | 2338.00    | 2.15     | 4521.90     | 7        | 12816      | 1085  |
| RMS_NORM+MUL   | 256:8:142:1 x 256:1 -> 256:8:142:1       | f32 x f32 -> f32                | 2152.00    | 76.86    | 132149.43   | 80       | 137161     | 28    |
| FLASH_ATTN_EXT | 512:142:8:1 x 512:256 x 512:256 x 256... | f32 x f16 x f16 x f16 -> f32    | 2060.00    | 294.29   | 503807.57   | 301      | 515686     | 7     |
| MUL_MAT        | 6144:1536 x 6144:2 -> 1536:2             | q4_0 x f32 -> f32               | 1888.00    | 125.87   | 215958.00   | 133      | 227735     | 15    |
| ROPE           | 256:8:142:1 x 142:1 -> 256:8:142:1       | f32 x i32 -> f32                | 1882.00    | 67.21    | 115872.82   | 71       | 121703     | 28    |
| MUL_MAT_NX     | 1536:2048 x 1536:256 x 1536:256 x 153... | q4_0 x q4_0 x q4_0 x f32 -> f32 | 1816.00    | 151.33   | 259570.58   | 158      | 270441     | 12    |
| MUL_MAT        | 1536:2048 x 1536:142 -> 2048:142         | q4_0 x f32 -> f32               | 1797.00    | 112.31   | 192719.00   | 115      | 197096     | 16    |
| MUL_MAT        | 4096:1536 x 4096:142 -> 1536:142         | q4_0 x f32 -> f32               | 1461.00    | 208.71   | 357591.00   | 212      | 362592     | 7     |
| MUL            | 1536:142 x 1:1 -> 1536:142               | f32 x f32 -> f32                | 1457.00    | 41.63    | 72068.74    | 43       | 75244      | 35    |
| MUL_MAT        | 1536:256 x 1536:142 -> 256:142           | q4_0 x f32 -> f32               | 1341.00    | 38.31    | 66302.43    | 41       | 70719      | 35    |
| MUL_MAT        | 256:1536 x 256:142 -> 1536:142           | q4_0 x f32 -> f32               | 1335.00    | 38.14    | 66053.09    | 50       | 87168      | 35    |
| SET_ROWS       | 256:1 x 1:1 x 256:1024 -> 256:1024       | f32 x i64 x f16 -> f16          | 1288.00    | 1.73     | 4043.49     | 8        | 15622      | 744   |
| MUL_MAT        | 2048:1536 x 2048:2 -> 1536:2             | q4_0 x f32 -> f32               | 1248.00    | 44.57    | 77031.50    | 47       | 81291      | 28    |
| ROPE           | 512:8 x 1:1 x 256:1 -> 512:8             | f32 x i32 x f32 -> f32          | 1145.00    | 5.28     | 9560.95     | 8        | 15481      | 217   |
| ROPE           | 256:1 x 1:1 -> 256:1                     | f32 x i32 -> f32                | 897.00     | 2.41     | 5157.96     | 3        | 5814       | 372   |
| GELU           | 256:142 -> 256:142                       | f32 -> f32                      | 842.00     | 24.06    | 42061.49    | 25       | 44407      | 35    |
| RMS_NORM+MUL   | 512:8 x 512:1 -> 512:8                   | f32 x f32 -> f32                | 830.00     | 3.82     | 7355.11     | 5        | 10057      | 217   |
| RMS_NORM+MUL   | 512:8:142:1 x 512:1 -> 512:8:142:1       | f32 x f32 -> f32                | 790.00     | 112.86   | 193824.57   | 116      | 198368     | 7     |
| MUL_MAT_NX     | 1536:2048 x 1536:256 x 1536:256 x 153... | q4_0 x q4_0 x q4_0 x f32 -> f32 | 781.00     | 65.08    | 112082.08   | 71       | 121882     | 12    |
| MUL_MAT_NX     | 1536:4096 x 1536:512 x 1536:512 x 153... | q4_0 x q4_0 x q4_0 x f32 -> f32 | 764.00     | 254.67   | 436202.33   | 258      | 441892     | 3     |
| FLASH_ATTN_EXT | 256:2:8:1 x 256:256 x 256:256 x 256:2... | f32 x f16 x f16 x f16 -> f32    | 757.00     | 27.04    | 47118.61    | 42       | 72713      | 28    |
| RMS_NORM+MUL   | 256:1 x 256:1 -> 256:1                   | f32 x f32 -> f32                | 745.00     | 2.00     | 4213.65     | 3        | 5634       | 372   |
| ROPE           | 512:8:142:1 x 142:1 x 256:1 -> 512:8:... | f32 x i32 x f32 -> f32          | 731.00     | 104.43   | 179566.71   | 111      | 191400     | 7     |
| MUL_MAT        | 1536:4096 x 1536:142 -> 4096:142         | q4_0 x f32 -> f32               | 731.00     | 182.75   | 313473.50   | 184      | 316084     | 4     |
| MUL_MAT        | 1536:2048 x 1536:2 -> 2048:2             | q4_0 x f32 -> f32               | 715.00     | 44.69    | 77346.12    | 48       | 82260      | 16    |
| SCALE          | 256:35 -> 256:35                         | f32 -> f32                      | 696.00     | 11.23    | 20181.39    | 25       | 44333      | 62    |
| RMS_NORM       | 256:1 -> 256:1                           | f32 -> f32                      | 655.00     | 1.76     | 4396.24     | 7        | 13589      | 372   |
| RMS_NORM+MUL   | 1536:2 x 1536:1 -> 1536:2                | f32 x f32 -> f32                | 654.00     | 3.72     | 7173.47     | 9        | 15919      | 176   |
| MUL_MAT        | 4096:1536 x 4096:2 -> 1536:2             | q4_0 x f32 -> f32               | 597.00     | 85.29    | 146481.71   | 86       | 147542     | 7     |
| SCALE          | 8960:1 -> 8960:1                         | f32 -> f32                      | 488.00     | 15.74    | 28021.19    | 20       | 36066      | 31    |
| GEGLU          | 12288:2 x 12288:2 -> 12288:2             | f32 x f32 -> f32                | 442.00     | 22.10    | 38564.25    | 23       | 40952      | 20    |
| MUL_MAT        | 1536:256 x 1536:2 -> 256:2               | q4_0 x f32 -> f32               | 415.00     | 11.86    | 21132.17    | 14       | 25180      | 35    |
| MUL            | 256:142 x 256:142 -> 256:142             | f32 x f32 -> f32                | 380.00     | 10.86    | 19521.43    | 16       | 29019      | 35    |
| ROPE           | 512:1 x 1:1 x 256:1 -> 512:1             | f32 x i32 x f32 -> f32          | 372.00     | 4.00     | 7077.88     | 4        | 7696       | 93    |
| RMS_NORM+MUL   | 256:35 x 256:1 -> 256:35                 | f32 x f32 -> f32                | 360.00     | 11.61    | 20831.77    | 14       | 24526      | 31    |
| SET_ROWS       | 512:1 x 1:1 x 512:4096 -> 512:4096       | f32 x i64 x f16 -> f16          | 352.00     | 1.89     | 3990.54     | 3        | 6732       | 186   |
| MUL_MAT        | 1536:4096 x 1536:2 -> 4096:2             | q4_0 x f32 -> f32               | 339.00     | 84.75    | 145772.75   | 88       | 151516     | 4     |
| MUL_MAT_NX     | 1536:4096 x 1536:512 x 1536:512 x 153... | q4_0 x q4_0 x q4_0 x f32 -> f32 | 334.00     | 111.33   | 191076.33   | 112      | 191575     | 3     |
| ADD            | 256:35 x 256:35 -> 256:35                | f32 x f32 -> f32                | 334.00     | 10.77    | 19313.13    | 13       | 22932      | 31    |
| SCALE          | 256:35:142:1 -> 256:35:142:1             | f32 -> f32                      | 333.00     | 166.50   | 286042.00   | 171      | 293678     | 2     |
| ROPE           | 256:1:142:1 x 142:1 -> 256:1:142:1       | f32 x i32 -> f32                | 333.00     | 27.75    | 48475.25    | 28       | 49500      | 12    |
| SET_ROWS       | 256:142 x 142:1 x 256:1024 -> 256:1024   | f32 x i64 x f16 -> f16          | 332.00     | 13.83    | 24728.88    | 20       | 34983      | 24    |
| ADD            | 1536:2 x 1536:2 -> 1536:2                | f32 x f32 -> f32                | 320.00     | 3.05     | 6024.26     | 8        | 14755      | 105   |
| MUL_MAT        | 256:1536 x 256:2 -> 1536:2               | q4_0 x f32 -> f32               | 316.00     | 9.03     | 16234.83    | 16       | 27706      | 35    |
| ADD            | 256:35:142:1 x 256:35:142:1 -> 256:35... | f32 x f32 -> f32                | 241.00     | 241.00   | 412661.00   | 241      | 412661     | 1     |
| RMS_NORM+MUL   | 512:1 x 512:1 -> 512:1                   | f32 x f32 -> f32                | 233.00     | 2.51     | 5026.44     | 3        | 5858       | 93    |
| FLASH_ATTN_EXT | 512:2:8:1 x 512:256 x 512:256 x 256:2... | f32 x f16 x f16 x f16 -> f32    | 212.00     | 30.29    | 52645.57    | 31       | 53479      | 7     |
| GET_ROWS       | 1536:1 x 1:1 -> 1536:1                   | f32 x i32 -> f32                | 209.00     | 6.74     | 12342.55    | 7        | 13459      | 31    |
| RMS_NORM+MUL   | 256:35:142:1 x 256:1 -> 256:35:142:1     | f32 x f32 -> f32                | 206.00     | 206.00   | 353454.00   | 206      | 353454     | 1     |
| CONT           | 256:1:35:1 -> 256:1:35:1                 | f32 -> f32                      | 201.00     | 6.48     | 11955.52    | 7        | 13623      | 31    |
| GEGLU          | 6144:2 x 6144:2 -> 6144:2                | f32 x f32 -> f32                | 194.00     | 12.93    | 22621.87    | 18       | 31186      | 15    |
| RMS_NORM       | 256:1:142:1 -> 256:1:142:1               | f32 -> f32                      | 190.00     | 15.83    | 28041.83    | 17       | 30734      | 12    |
| RMS_NORM       | 512:1 -> 512:1                           | f32 -> f32                      | 186.00     | 2.00     | 3698.88     | 2        | 4375       | 93    |
| ROPE           | 256:8:2:1 x 2:1 -> 256:8:2:1             | f32 x i32 -> f32                | 160.00     | 5.71     | 10381.68    | 15       | 26702      | 28    |
| SCALE          | 8960:142 -> 8960:142                     | f32 -> f32                      | 159.00     | 159.00   | 272318.00   | 159      | 272318     | 1     |
| CONT           | 256:142:35:1 -> 256:142:35:1             | f32 -> f32                      | 152.00     | 152.00   | 260671.00   | 152      | 260671     | 1     |
| ROPE           | 512:1:142:1 x 142:1 x 256:1 -> 512:1:... | f32 x i32 x f32 -> f32          | 138.00     | 46.00    | 79675.00    | 46       | 79984      | 3     |
| RMS_NORM+MUL   | 256:1:142:1 x 256:1 -> 256:1:142:1       | f32 x f32 -> f32                | 133.00     | 11.08    | 19852.75    | 12       | 21827      | 12    |
| RMS_NORM+MUL   | 256:8:2:1 x 256:1 -> 256:8:2:1           | f32 x f32 -> f32                | 121.00     | 4.32     | 8166.43     | 5        | 9367       | 28    |
| MUL            | 1536:2 x 1:1 -> 1536:2                   | f32 x f32 -> f32                | 106.00     | 3.03     | 5948.51     | 6        | 10655      | 35    |
